domain;address;city;country_code;country_name;name;phone;region_code;region_name;zip_code
koruma.com;deniz mah. petrol ofisi cad. no:43 derince / kocaeli̇|deniz, petrol ofisi cd. no:43, 41900 derince/kocaeli, turkey;derince;tr;turkey;koruma klor alkali sanayi ve ticaret a.ş.;902622392270;41;kocaeli;41900
lighthouse-realestate.ca;17 may st, k0m1n0, fenelon falls, on, canada, ontario|fenelon falls, on, canada;fenelon falls;ca;canada;lighthouse real estate limited;17058875252;on;ontario;k0m1n0
laportesnursery.ca;1054 lakeshore drive, p1a 2h3, north bay, on, canada, ontario|1054 lakeshore dr, north bay, on p1a 2h3, canada;north bay;ca;canada;laporte's nursery & greenhouses;17054726414;on;ontario;p1a 2h3
precisionparalegal.ca;5-5006 south service road, l7l 5y7, burlington, on, canada, ontario|10060 jasper ave tower 1, suite 2020, edmonton, ab t5j 3r8, canada;burlington;ca;canada;precision paralegal services;18665413966;on;ontario;l7l 5y7
successimmigration.bc.ca;1202 fort st., v8v 3k8, victoria, bc, canada, british columbia|920 johnson st, victoria, bc v8v 3n5, canada;victoria;ca;canada;success immigration services ltd.;12503619885;bc;british columbia;v8v 3k8
handandstone.ca;895 lawrence avenue east                          unit 4, m3c 3l2, toronto, on, canada, ontario|1808 avenue rd, north york, on m5m 3z1, canada;north york;ca;canada;hand & stone massage and facial spa canada;14163318686;on;ontario;m5m 3z1
campanile.com;15 - 17 avenue foch, 21000, dijon, france, bourgogne|16 avenue raymond poincaré, 21000 dijon, france;dijon;fr;france;"hotel campanile dijon centre gare & restaurant \"le comptoir\"";33380711056;27;bourgogne-franche-comte;21000
cactusclubcafe.com;11130 jasper ave, t5k 0l1, edmonton, ab, canada, alberta|burnaby, bc, canada;edmonton;ca;canada;cactus club cafe;16044318448;ab;alberta;t5k 0l1
twisted-fork.ca;62 main st., l0g 1m0, mount albert, ontario|mount albert, on, canada;mount albert;ca;canada;twisted fork restaurant;19054731111;on;ontario;
melissaconnickschoolofdance.com;5181 st margarets bay rd unit #101, upper tantallon, ns b3z 4r4, canada;upper tantallon;ca;canada;melissa connick school of dance;19028202499;ns;nova scotia;b3z 4r4
pinnaclemortgagegroup.ca;6843 dawson st, niagara falls, on, canada, ontario|6843 dawson st, niagara falls, on l2e 7b6, canada;niagara falls;ca;canada;pinnacle mortgage group inc. #12644;12899321989;on;ontario;l2e 7b6
nychealthandhospitals.org;bronx, ny;;us;;nyc health + hospitals;18446924692;;;
homelife.ca;823 college street, m6g1c9, toronto, on, canada, ontario|2565 steeles ave e suite:unit 11, brampton, on l6t 4l6, canada;toronto;ca;canada;homelife regional realty ltd.;14165353107;on;ontario;m6g1c9
homelife.ca;823 college street, m6g1c9, toronto, on, canada, ontario|3+ years in business · north york, on, canada;toronto;ca;canada;homelife regional realty ltd.;14165353107;on;ontario;m6g1c9
winnipegsmp.com;3 torrington road, r3y 1b4, winnipeg, mb, canada, manitoba|3 torrington rd, winnipeg, mb r3y 1b4, canada;winnipeg;ca;canada;prairie esthetics studio - tammy zegalski;12049990229;mb;manitoba;r3y 1b4
expertins.ca;main floor, 155 carlton street, r3c 3h8, winnipeg, mb, canada, manitoba|155 carlton st, winnipeg, mb r3c 3h8, canada;winnipeg;ca;canada;expert insurance services ltd.;12049440249;mb;manitoba;r3c 3h8
we-haul.ca;102 clouston avenue, m9n 1a7, toronto, on, canada, ontario|69 sixteenth st, etobicoke, on m8v 3j9, canada;etobicoke;ca;canada;we-haul disposal services;16474445865;on;ontario;m8v 3j9
lebeau.ca;313, bethany, j8h 2n1, lachute, qc, canada, quebec|313 avenue béthany, lachute, qc j8h 2n1, canada;lachute;ca;canada;lebeau vitres d'autos;14505621812;qc;quebec;j8h 2n1
adfgroup.com;300 rue henry-bessemer, j6y1t3, terrebonne, qc, canada, quebec|300 rue henry bessemer, terrebonne, quebec j6y 1t3, canada;terrebonne;ca;canada;groupe adf inc.;14509651911;qc;quebec;j6y 1t3
salvationarmyusa.org;3729 w chicago, detroit, mi 48206;detroit;us;united states;the salvation army usa;13138972914;mi;michigan;48206
novatekwelding.ca;34 cowansview road, n1r 7n3, cambridge, on, canada, ontario|75 moorefield st unit #2, cambridge, on n1t 1s2, canada;cambridge;ca;canada;novatek welding;15196236461;on;ontario;n1r 7n3
carolsqualitysweets.com;12519 102 ave, t5n 0m4, edmonton, ab, canada, alberta|12519 102 ave, edmonton, ab t5n 0m3, canada;edmonton;ca;canada;carol's quality sweets;17804338650;ab;alberta;t5n 0m4
dallasfertility.com;5477 glen lakes dr, ste 200, 75231, dallas, tx, us, texas|b-, 7777 forest ln #443, dallas, tx 75230;dallas;us;united states;dallas - fort worth fertility associates;12143635965;tx;texas;75231
waterloobrewing.com;400 bingemans centre drive, n2b 3x9, kitchener, on, canada, ontario|400 bingemans centre dr, kitchener, on n2b 3x9, canada;kitchener;ca;canada;waterloo brewing;15197422732;on;ontario;n2b 3x9
ironxfitness.ca;85 plymouth st b001;ottawa;ca;canada;iron x fitness inc.;16138977653;on;ontario;
casellerscleaningservices.ca;115 high st, l0e 1r0, sutton west, on, canada, ontario|418 kawartha lakes county rd 36, lindsay, on k9v 4r3, canada;sutton west;ca;canada;c.a sellers cleaning services ltd;12895769744;on;ontario;l0e 1r0
koreanair.com;5+ years in business · north york, on, canada · in yonge sheppard centre;north york;kr;canada;korean air;82226562001;on;ontario;96819
lamaindorsalon.com;444 yonge st, m5b 2h4, toronto, on, canada, ontario|444 yonge st, toronto, on m5b 2h4, canada;toronto;ca;canada;la main d'or salon spa;14165951069;on;ontario;m5b 2h4
ashbridgesbayanimalhospital.ca;1392 gerrard st e, toronto, on m4l 1z4, canada;toronto;ca;canada;ashbridge's bay animal hospital toronto;14169157387;on;ontario;m4l 1z4
weirbrosroofing.com;5480 jones baseline, n1h 6j1, guelph, on, canada, ontario|5480 jones baseline, guelph, on n1h 6j1, canada;guelph;ca;canada;weir bros. roofing;15198312002;on;ontario;n1h 6j1
healthmaxphysio.com;1401 ellesmere road #104, scarborough, on, m1p 4r4, toronto, on, canada, ontario|298 john st #3, thornhill, on l3t 5w4, canada;scarborough;ca;canada;healthmax physiotherapy scarborough;14164314000;on;ontario;m1p 4r4
magogconceptchrysler.com;3025 rue sherbrooke, j1x4g6, magog, qc, canada, quebec|3025 rue sherbrooke, magog, quebec j1x 4g6, canada;magog;ca;canada;magog concept chrysler inc.;18198433380;qc;quebec;j1x4g6
ipfund.ca;359 kent street, suite 503, k2p 0r6, ottawa, on, canada, ontario|359 kent st #503, ottawa, on k2p 0r6, canada;ottawa;ca;canada;investment partners fund inc.;16136883858;on;ontario;k2p 0r6
silvertulipboutique.ca;177 main street lower level, l3r2g9, unionville, on, canada, ontario|unionville, on, canada;unionville;ca;canada;silver tulip boutique;14167350540;on;ontario;l3r2g9
era.com.sg;450 lorong 6 toa payoh, 319394, singapore, singapore, singapore|450 lor 6 toa payoh, era apac centre · in toa payoh mall;;sg;singapore;era realty network private limited singapore;6562262000;;;
